"item","subj","attractor","interference","rating","accuracy","Sentence"
10,"1510574143_b07f6c0777674bc3e32d6128e4e1f5f9","match","interference",7,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510579410_7060270d2bcceaf6dd9a13ef9776c784","match","interference",6,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510580312_73cbdc9b3b9c5938910a0fdb52a8f3d6","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510581869_9d2732d9d0aea60fa6658f6df48ce0ea","match","interference",5,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510582724_9819f7f8bedef2f7112a1f38e9e5f3ee","match","interference",5,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510582884_02bf9111d5538b3050fea4c63f0e33e9","match","interference",5,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510583066_f767aea055c7e14b98025c50b2d5fbc2","match","interference",4,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510583355_030b41e8dd3b37c4b458c793b9eb2ca7","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510584829_1344cfc77d17d2e88baf439fd43b2884","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510585275_f16183ce33d1d595ab4601b5a19158e7","match","interference",4,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510585394_bb8a82291d0c8a2f639ba6635bde2ddc","match","interference",7,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510586284_1692e1050698b3493a0f3a8d5c610f18","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510586496_bee4c677e5b68b3a098b3115042a67af","match","interference",6,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510588037_c41ac681a2ebe878e780248e99ad3369","match","interference",7,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510588090_e879a59ce265f02d4a502ea017145a2b","match","interference",5,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510588250_6c67c538e72a1edecac84b01e41bd00a","match","interference",5,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510588504_886ad8402131d19bde2421110edd7cd2","match","interference",6,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510588979_c6dd3476e41f7e089ad10b367fc83241","match","interference",5,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510589306_e83240264c9d6e934a839ac9e9aac406","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510589397_f967b30371ccdb15a41b63fd040cba07","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510590024_7e2f475cc1711a5b405f0e5a9460793b","match","interference",5,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510590309_cfd502aeeb5d6f6a12f55c06cc11b540","match","interference",3,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510591293_986e282f310adf31e02e5ca835fb8746","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510591968_9b9d2467989234687508afcc23fff68d","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510592575_c43e9be0c3c64f58402d518c8f67cefd","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510595054_db43f6a2f42938b3cb4fcafe0b866e6b","match","interference",5,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510595557_67b42e3add9f36e6d75f5b96a6f819b1","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510595845_5210a43f70ef751674907ebcee360fee","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510596214_187e95d5b10cb24b31bc9084707e91b3","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510596346_5c932b3f3d8908fce21bd451c26d70c5","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510596581_51dd4f0c55ba51d5a37d753730ba917d","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510599317_c7124ac7a2c779f7ea5fcd096d7e64b0","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510599682_5946302aa623ca894bfe08d48e4f565f","match","interference",5,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510602295_3db4ad270c91f96f1226a51c4b1872ba","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510602713_9070cfc8b2516aa4f094a37ba9010e29","match","interference",5,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510602723_64f1cf36e3b233ba2ad79ddaf8bdedde","match","interference",1,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510603717_b64ce5b213641f19e64c6ec91eb7d34e","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510604043_4ca44b17b0959eb1a82a9eedb7e33a63","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510606338_54cb359903b3b7805fea99ad6086928b","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510611776_a3737cb382d2fc4c2f768541847cc993","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510614312_61bba603e5e58f2cc53c56588f690cea","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510616995_a5f097ace0ee7772abb31e061bbd8923","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510621130_66a49cb2c696399a559058deea55e2d6","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510703137_91ca4c84fcca99cf79d63561ba642605","match","interference",1,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510711756_2f346b088f521378979c08d01deb2839","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510720587_1d35cf079a19f06327ef81ff5ad31571","match","interference",3,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510727224_34d53ab6c15e11c5825ee163109661d9","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510733684_a190d3c7bc0ecfd80473907c50dc18bc","match","interference",5,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510734648_2be982f7ffa0ec5159d61488c5d1c705","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510739589_57702d856cf9ee26d9ceaf82bceb6cbd","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510740526_d0b4ccbada2b65670f5a239b30c3b039","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510741174_7b0440b2c9cfcad13e425c8b842dc151","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510741952_f04b640b3691d8d2decea59703e4b973","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510744300_f48961d2e17b1dd95f3ddeb252bf6786","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510750466_1d42b98c6e231379e8a4386cbf239db6","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510751409_7dad0d005971e9466acd16eccf578520","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510752511_f43d9615f8252726e2d7c24c67a8e97f","match","interference",4,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510753913_87d4990ff55d7bb1b95ca7795da72f6a","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510756033_13568f4782454aaae1ceb44e30f043c0","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510760225_c84eddcd30fc8b081279da3102bef875","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510762326_2c9c67f8412c212128e5cb6b9ab55900","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510774536_675f32f80c6eb7dec23fa2ada8acac26","match","interference",5,0,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510784671_9aa6c34cb0a47fa63354212389cb4c12","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510788875_c73c2871a1ea5b4db21ef83b87133335","match","interference",6,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510795438_c0f75d69d03b92bb2bc3f39fb15e91a7","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510822380_6ecd0d515e942aff6389958dcf69e9f9","match","interference",7,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510829167_bb60a7c6ad6cf6392e0c94773bcd25ae","match","interference",3,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510838132_0c2466bcec0ae298be46b5c15ab6680f","match","interference",4,1,"The_interpreter of_the ambassador noticeably stumbles on_a difficult passage."
10,"1510576525_ec0b18a68f3154e6ed8988cae22abe67","mismatch","interference",3,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510577619_972fb77407a3326bcdaae98ca20580f0","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510578984_0cae0d3f5f7d89096cd9dfee32239540","mismatch","interference",7,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510579051_151e2336b097708f89b82464ce1e94ad","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510579390_9cfca85bcdad7d343b860ae6157184f5","mismatch","interference",3,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510579865_601a4866886ae09d7094656d2294555c","mismatch","interference",6,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510581423_8a9b2e529e4e0aeab79a666746435023","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510582281_a6b0f22b12030ad675c8866a0bdf2628","mismatch","interference",4,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510583045_9f988db6e82f36a5cb6f67301e2965ed","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510584503_02a624a25a1d09ff93e11ef770aa511d","mismatch","interference",7,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510585171_84838287454f14a134db92fc49fa06f0","mismatch","interference",7,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510585403_8e2fb6c272e3946e3086f6330d6bf139","mismatch","interference",6,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510586033_16b29ee05c829169c5c9a23d9b0dcfc9","mismatch","interference",6,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510587705_3f7964bf5e5cbdb5fe81839bd098c16b","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510587845_7c2c42f924aa6c68f28da5a23a415901","mismatch","interference",6,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510588268_1412df4acd2cf31a37b19f527aef9b7c","mismatch","interference",5,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510588515_20a93e97c7f4ca99dd42e3e1226d5c18","mismatch","interference",7,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510588981_a0c714b9863550e72013e217a0512232","mismatch","interference",3,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510589160_0f76dc26b7ec9a6e698987167ad1002a","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510589286_21923942d3e298f62352bc52b9f96c46","mismatch","interference",3,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510590060_df3f49d61c40b22bdfa6855e8af836fc","mismatch","interference",4,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510590363_009dcf46705a65805191ef96ed0ac421","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510590524_13412c2905cf3ab5c9cce7e386d03997","mismatch","interference",4,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510590539_7f7ab6332ea3003a95b17c190a68637a","mismatch","interference",3,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510590546_a3dc7f89544d81d696bc8c9a24e99c34","mismatch","interference",6,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510590800_a35e65cb7cbdaf36a88fc40c902581c2","mismatch","interference",3,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510591006_3022851625daa6cb619ad413002f2fdc","mismatch","interference",3,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510591693_387c2718e835799c150f71ef510dd3a0","mismatch","interference",7,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510592166_c35edc771da822981676d2cd349c0caf","mismatch","interference",6,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510593034_5511980ac2c3f93efc1d9ba3fd4feac9","mismatch","interference",5,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510593577_28e9035400052ce6a7d97c9e8f9ae597","mismatch","interference",6,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510593578_6f7481bf387252f76b1db70b4938f440","mismatch","interference",5,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510594535_c1023373ddb70bf317eb132dfcb5b730","mismatch","interference",5,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510596092_ebdaa6f0aea8afc2eb3e38986334d626","mismatch","interference",7,1,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510596629_54b50376cb4bdbbd6e8ed44f01f277f7","mismatch","interference",1,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
10,"1510596845_a2a8c325f5b1c6f45c553fdad384a84a","mismatch","interference",7,0,"The_interpreter of_the ambassadors noticeably stumbles on_a difficult passage."
